score: prompt
----------------
-1.25: 根据输入的商户信息和菜品信息，撰写一篇关于商户的评价，包括菜品口味、环境、服务以及人均消费等方面的评分和评价，要求评价语言客观、准确、简洁，能够为其他消费者提供参考和建议。输入信息包括商户名、商户地址、地标、地铁、商圈、分店名、菜品名称、口味分、环境分、服务分和人均价格等。
-1.26: 根据输入的商户信息和菜品评价，撰写对该商户的评价文本。评价内容包括口味、环境、服务、价格等方面，需要综合考虑，给出相对客观的评价。同时，评价文本中需要涉及商户地址、地标、地铁、商圈、分店名等信息，方便读者查找该商户位置和了解更多相关信息。
-1.28: 根据输入的商户信息和菜品名称，写出一份针对该商户和该菜品的评价，包括口味、环境、服务、人均价格等方面的评价，评分满分为五分。同时，也需要输入商户所在的地址、地标、地铁、商圈和分店名等信息，以便更好地描述商户的位置和特点。评价内容可以包括对菜品的描述、对环境和服务的评价、对价格的评价等。
-1.28: 根据输入的商户信息和菜品信息，撰写一篇商户评价，包括口味、环境、服务、人均价格等方面的评价，同时要求在评价中提及商户所在的地标、地铁、商圈、分店名等信息。评价文本应当具有客观性和实用性，能够帮助其他用户进行消费决策。
-1.29: 根据输入的商户信息和菜品评价，写出一段商户评价文本，包括菜品口味、环境、服务、人均价格等方面的评价。商户信息包括商户名、商户地址、地标、地铁、商圈、分店名。菜品信息包括菜品名称和口味评分。
-1.29: 根据输入的商户信息和菜品信息，撰写一篇对商户的评价。评价包括对菜品口味、环境、服务等方面的评价，同时也要包括商户的具体位置和周边环境。评价需要准确、客观、有针对性，以帮助其他用户更好地了解商户的情况，做出更明智的选择。
-1.30: 根据给出的商户信息和菜品名称，撰写评价文本。评价内容包括口味、环境、服务等方面，以及人均价格。商户信息包括商户名、商户地址、地标、地铁、商圈、分店名。如果菜品名称有多个，则需要对每个菜品分别评价。评分以满分五分为标准。
-1.31: 根据输入的商户信息、菜品名称、口味分、环境分、服务分和人均价格等评价因素，写出该商户该菜品的评价。评价内容应包括对菜品味道、口感、原料新鲜度等方面的描述，对环境和服务质量的评价，以及对人均价格的评价。评价内容应客观、真实、详细，能够给读者提供有用的参考和建议。同时，评价内容应根据不同的商户和菜品具体情况做出不同的描述，避免模板化和雷同。
-1.33: 根据输入信息，写一篇商户评价，包括商户名称、地址、地标、地铁、商圈、分店名称、菜品名称、口味分、环境分、服务分和人均价格。评价应该客观、准确地反映出顾客对商户的评价，可以提供一些具体的细节和建议。
-1.39: 根据输入的商户信息、菜品信息和评分，撰写一篇商户评价的文本，包括对菜品口味、环境、服务等方面的评价和具体的消费体验描述。评价文本应该能够对读者提供实用的参考价值，帮助他们了解商户的特点和优缺点，做出更明智的消费决策。评价文本应该简洁明了、具有可读性和吸引力，能够吸引读者的注意力并激发他们的兴趣。
